What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
35-44 years old,Cortado,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Cappuccino,,,Bright,Medium,Light,Full caffeine,Female,,,Asian/Pacific Islander,,,,
35-44 years old,Cappuccino,Skim milk,,Full Bodied,Very strong,Light,Full caffeine,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Americano,,Granulated Sugar,Full Bodied,Somewhat strong,Dark,Half caff,Male,,Master's degree,Asian/Pacific Islander,,Student,None,No affiliation
35-44 years old,Espresso,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,No affiliation
25-34 years old,Cortado,"Whole milk, Oat milk, Almond milk",,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Juicy,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Latte,Oat milk,,Nutty,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cappuccino,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Somewhat light,Light,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,Whole milk,,Bright,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,"Oat milk, Almond milk, Soy milk",,Juicy,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,,,Fruity,Somewhat light,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Cappuccino,"Whole milk, Oat milk",,Floral,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,Oat milk,,Nutty,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,Democrat
18-24 years old,Cortado,"Whole milk, Coffee creamer",Raw Sugar (Turbinado),Nutty,Somewhat light,Dark,Decaf,,,,,,,,
25-34 years old,Cortado,,,Floral,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Cold brew,Coffee creamer,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,More than 3,Republican
35-44 years old,Americano,,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent
25-34 years old,Latte,"Whole milk, Oat milk",,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Some college or associate's degree,Asian/Pacific Islander,,Employed part-time,None,No affiliation
25-34 years old,Espresso,Whole milk,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,,Juicy,Somewhat strong,Nordic,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Other,Oat milk,,Fruity,Medium,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Juicy,Somewhat strong,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Whole milk,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Cappuccino,Whole milk,,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Americano,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Oat milk,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,High school graduate,Hispanic/Latino,,Employed full-time,None,Democrat
45-54 years old,Pourover,,,Sweet,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,None,No affiliation
25-34 years old,Cortado,Whole milk,Granulated Sugar,Caramalized,Somewhat strong,Dark,Full caffeine,Male,,Doctorate or professional degree,Other (please specify),No,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Oat milk,,Full Bodied,Medium,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Oat milk,,Sweet,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
45-54 years old,Regular drip coffee,,,Juicy,Medium,Light,Full caffeine,Male,,Master's degree,Other (please specify),Black and asian,Employed full-time,1,Independent
25-34 years old,Cortado,,,Full Bodied,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,None,Democrat
25-34 years old,Pourover,"Oat milk, Almond milk",,Bold,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Republican
25-34 years old,Latte,Whole milk,,Caramalized,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,,Chocolatey,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
>65 years old,Latte,,,Bright,Somewhat strong,Dark,Full caffeine,Male,,High school graduate,White/Caucasian,,Retired,1,Democrat
25-34 years old,Latte,Whole milk,,Caramalized,Somewhat strong,Medium,Full caffeine,Female,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
45-54 years old,Pourover,"Whole milk, Oat milk, Half and half",,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Iced coffee,Half and half,,Juicy,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Cold brew,,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,No affiliation
18-24 years old,Cold brew,,,Bold,Somewhat strong,Dark,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Espresso,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Mocha,Oat milk,Granulated Sugar,Fruity,Somewhat light,Light,Decaf,Non-binary,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,,,Caramalized,Very strong,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,None,Democrat
55-64 years old,Regular drip coffee,,,Caramalized,Medium,Medium,Full caffeine,,,,,,,,
25-34 years old,Latte,"Whole milk, Coffee creamer, Flavored coffee creamer, Almond milk","Granulated Sugar, Honey, Raw Sugar (Turbinado)",Sweet,Somewhat light,Light,Full caffeine,Non-binary,,Master's degree,White/Caucasian,,Student,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
18-24 years old,Blended drink (e.g. Frappuccino),Flavored coffee creamer,Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Cortado,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,Other (please specify),Indian,Employed part-time,None,Democrat
>65 years old,Pourover,Skim milk,,Floral,Medium,Nordic,Half caff,Female,,Bachelor's degree,White/Caucasian,,Retired,2,No affiliation
55-64 years old,Iced coffee,,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Cold brew,Whole milk,Granulated Sugar,Caramalized,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,Whole milk,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Other,Oat milk,Raw Sugar (Turbinado),Floral,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
45-54 years old,Cappuccino,Whole milk,,Caramalized,Somewhat strong,Medium,Decaf,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Latte,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
45-54 years old,Latte,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Espresso,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Regular drip coffee,Coffee creamer,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
18-24 years old,Iced coffee,Whole milk,,Chocolatey,Somewhat light,Dark,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Espresso,,,Bold,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Cold brew,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Other,Whole milk,,Sweet,Weak,Light,Half caff,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,,Nutty,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,Granulated Sugar,Chocolatey,Weak,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cortado,"Whole milk, Flavored coffee creamer, Oat milk",,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Caramalized,Medium,Medium,Full caffeine,,,,,,,,
25-34 years old,Pourover,Whole milk,,Bright,Somewhat light,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Mocha,Half and half,"Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Republican
25-34 years old,Latte,"Whole milk, Oat milk, Half and half",,Juicy,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Floral,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Other (please specify),White/South Asian,Employed part-time,None,Independent
25-34 years old,Latte,"Whole milk, Half and half",,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bold,Very strong,French,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed part-time,None,No affiliation
35-44 years old,Pourover,,,Caramalized,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Independent
55-64 years old,Espresso,,,Caramalized,Very strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Latte,Oat milk,,Juicy,Medium,Medium,Half caff,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
45-54 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Full Bodied,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Full Bodied,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cappuccino,,,Full Bodied,Somewhat strong,Dark,Full caffeine,,,,,,,,
45-54 years old,Latte,,,Chocolatey,Medium,Light,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Employed full-time,2,No affiliation
45-54 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Cappuccino,"Whole milk, Oat milk",,Fruity,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Other (please specify),Asian/Caucasian,Employed full-time,2,Independent
35-44 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
